name,weekly_gross_eur,annual_gross_eur,adjusted_gross_eur,position,age,country,club,season,league,verified,bonus_gross_eur,signed,expiration,years,total_gross_eur,release_eur,status,position_detail,active
Pablo Barrios,"€ 22,115","€ 1,150,000","€ 1,150,000",M,19,Spain,Atletico Madrid,2022-2023,la-liga,,,,,,,,,,
Ruben Garcia,"€ 22,115","€ 1,150,000","€ 1,150,000",F,29,Spain,Osasuna,2022-2023,la-liga,,,,,,,,,,
Oscar Mingueza,"€ 22,115","€ 1,150,000","€ 1,150,000",D,23,Spain,Celta Vigo,2022-2023,la-liga,,,,,,,,,,
Manu Vallejo,"€ 21,923","€ 1,140,000","€ 1,140,000",F,25,Spain,Girona,2022-2023,la-liga,,,,,,,,,,
Dani Vivian,"€ 21,154","€ 1,100,000","€ 1,100,000",D,23,Spain,Athletic Club,2022-2023,la-liga,,,,,,,,,,
Samuel Chukwueze,"€ 21,154","€ 1,100,000","€ 1,100,000",F,23,Nigeria,Villarreal,2022-2023,la-liga,,,,,,,,,,
Lucas Robertone,"€ 21,154","€ 1,100,000","€ 1,100,000",M,25,Argentina,Almeria,2022-2023,la-liga,,,,,,,,,,
Eray Comert,"€ 21,154","€ 1,100,000","€ 1,100,000",D,24,Switzerland,Valencia,2022-2023,la-liga,,,,,,,,,,
Theo Bongonda,"€ 21,154","€ 1,100,000","€ 1,100,000",F,27,Democratic Republic of the Congo,Cadiz,2022-2023,la-liga,,,,,,,,,,
Yangel Herrera,"€ 21,154","€ 1,100,000","€ 1,100,000",M,25,Venezuela,Girona,2022-2023,la-liga,,,,,,,,,,
Johan Mojica,"€ 21,154","€ 1,100,000","€ 1,100,000",D,30,Colombia,Villarreal,2022-2023,la-liga,,,,,,,,,,
Tino Kadewere,"€ 20,769","€ 1,080,000","€ 1,080,000",F,27,Zimbabwe,Mallorca,2022-2023,la-liga,,,,,,,,,,
Carlos Clerc,"€ 20,769","€ 1,080,000","€ 1,080,000",D,30,Spain,Elche,2022-2023,la-liga,,,,,,,,,,
Lucas Perez,"€ 20,769","€ 1,080,000","€ 1,080,000",F,33,Spain,Cadiz,2022-2023,la-liga,,,,,,,,,,
Domingos Duarte,"€ 20,769","€ 1,080,000","€ 1,080,000",D,27,Portugal,Getafe,2022-2023,la-liga,,,,,,,,,,
Ivan Sanchez,"€ 20,769","€ 1,080,000","€ 1,080,000",F,30,Spain,Valladolid,2022-2023,la-liga,,,,,,,,,,
Ludwig Augustinsson,"€ 20,577","€ 1,070,000","€ 1,070,000",D,28,Sweden,Mallorca,2022-2023,la-liga,,,,,,,,,,
Jorge Cuenca,"€ 20,192","€ 1,050,000","€ 1,050,000",D,23,Spain,Villarreal,2022-2023,la-liga,,,,,,,,,,
Sergio Asenjo,"€ 20,000","€ 1,040,000","€ 1,040,000",K,33,Spain,Valladolid,2022-2023,la-liga,,,,,,,,,,
Martin Braithwaite,"€ 20,000","€ 1,040,000","€ 1,040,000",F,31,Denmark,Barcelona,2022-2023,la-liga,,,,,,,,,,
Lucas Olaza,"€ 19,231","€ 1,000,000","€ 1,000,000",D,28,Uruguay,Valladolid,2022-2023,la-liga,,,,,,,,,,
Jon Moncayola,"€ 19,231","€ 1,000,000","€ 1,000,000",M,24,Spain,Osasuna,2022-2023,la-liga,,,,,,,,,,
Inigo Lekue,"€ 19,231","€ 1,000,000","€ 1,000,000",D,29,Spain,Athletic Club,2022-2023,la-liga,,,,,,,,,,
Aleix Vidal,"€ 19,231","€ 1,000,000","€ 1,000,000",D,33,Spain,Espanyol,2022-2023,la-liga,,,,,,,,,,
Mikel Vesga,"€ 19,231","€ 1,000,000","€ 1,000,000",M,29,Spain,Athletic Club,2022-2023,la-liga,,,,,,,,,,
Alvaro Negredo,"€ 19,231","€ 1,000,000","€ 1,000,000",F,37,Spain,Cadiz,2022-2023,la-liga,,,,,,,,,,
Carlos Fernandez,"€ 19,231","€ 1,000,000","€ 1,000,000",F,26,Spain,Real Sociedad,2022-2023,la-liga,,,,,,,,,,
Fernando Pacheco,"€ 19,231","€ 1,000,000","€ 1,000,000",K,30,Spain,Espanyol,2022-2023,la-liga,,,,,,,,,,
Pol Lirola,"€ 19,231","€ 1,000,000","€ 1,000,000",D,25,Spain,Elche,2022-2023,la-liga,,,,,,,,,,
Sergio Leon,"€ 19,231","€ 1,000,000","€ 1,000,000",F,34,Spain,Valladolid,2022-2023,la-liga,,,,,,,,,,
Kiko Femenia,"€ 19,231","€ 1,000,000","€ 1,000,000",D,31,Spain,Villarreal,2022-2023,la-liga,,,,,,,,,,
Abner,"€ 19,231","€ 1,000,000","€ 1,000,000",D,22,Brazil,Real Betis,2022-2023,la-liga,,,,,,,,,,
Pablo Maffeo,"€ 18,846","€ 980,000","€ 980,000",D,25,Spain,Mallorca,2022-2023,la-liga,,,,,,,,,,
Adrian Embarba,"€ 18,462","€ 960,000","€ 960,000",F,30,Spain,Almeria,2022-2023,la-liga,,,,,,,,,,
Sergio Herrera,"€ 18,269","€ 950,000","€ 950,000",K,29,Spain,Osasuna,2022-2023,la-liga,,,,,,,,,,
Martin Hongla,"€ 18,077","€ 940,000","€ 940,000",M,24,Cameroon,Valladolid,2022-2023,la-liga,,,,,,,,,,
Valentin Castellanos,"€ 17,500","€ 910,000","€ 910,000",F,24,Argentina,Girona,2022-2023,la-liga,,,,,,,,,,
Mikel Balenziaga,"€ 17,308","€ 900,000","€ 900,000",D,34,Spain,Athletic Club,2022-2023,la-liga,,,,,,,,,,
Rui Silva,"€ 17,308","€ 900,000","€ 900,000",K,28,Portugal,Real Betis,2022-2023,la-liga,,,,,,,,,,
Ronael Pierre-Gabriel,"€ 17,308","€ 900,000","€ 900,000",D,24,France,Espanyol,2022-2023,la-liga,,,,,,,,,,
Moi Gomez,"€ 17,308","€ 900,000","€ 900,000",F,28,Spain,Osasuna,2022-2023,la-liga,,,,,,,,,,
Jorge Mere,"€ 17,308","€ 900,000","€ 900,000",D,25,Spain,Cadiz,2022-2023,la-liga,,,,,,,,,,
Andoni Gorosabel,"€ 17,308","€ 900,000","€ 900,000",D,26,Spain,Real Sociedad,2022-2023,la-liga,,,,,,,,,,
Joseba Zaldua,"€ 17,308","€ 900,000","€ 900,000",D,30,Spain,Cadiz,2022-2023,la-liga,,,,,,,,,,
Victor Camarasa,"€ 17,115","€ 890,000","€ 890,000",M,28,Spain,Real Betis,2022-2023,la-liga,,,,,,,,,,
Antonio Raillo,"€ 16,923","€ 880,000","€ 880,000",D,31,Spain,Mallorca,2022-2023,la-liga,,,,,,,,,,
Pedro Bigas,"€ 16,923","€ 880,000","€ 880,000",D,33,Spain,Elche,2022-2023,la-liga,,,,,,,,,,
Ander Guevara,"€ 16,731","€ 870,000","€ 870,000",M,25,Spain,Real Sociedad,2022-2023,la-liga,,,,,,,,,,
Nacho Vidal,"€ 16,731","€ 870,000","€ 870,000",D,28,Spain,Osasuna,2022-2023,la-liga,,,,,,,,,,
Paulo Gazzaniga,"€ 16,538","€ 860,000","€ 860,000",K,31,Argentina,Girona,2022-2023,la-liga,,,,,,,,,,
Enes Unal,"€ 16,538","€ 860,000","€ 860,000",F,25,Turkey,Getafe,2022-2023,la-liga,,,,,,,,,,
Ivo Grbic,"€ 16,538","€ 860,000","€ 860,000",K,27,Croatia,Atletico Madrid,2022-2023,la-liga,,,,,,,,,,
Aihen Munoz,"€ 16,538","€ 860,000","€ 860,000",D,25,Spain,Real Sociedad,2022-2023,la-liga,,,,,,,,,,
Fernando Pacheco,"€ 16,346","€ 850,000","€ 850,000",K,30,Spain,Almeria,2022-2023,la-liga,,,,,,,,,,
Youssouf Sabaly,"€ 16,346","€ 850,000","€ 850,000",D,29,Senegal,Real Betis,2022-2023,la-liga,,,,,,,,,,
Jeremias Ledesma,"€ 16,154","€ 840,000","€ 840,000",K,29,Argentina,Cadiz,2022-2023,la-liga,,,,,,,,,,
Predrag Rajkovic,"€ 16,154","€ 840,000","€ 840,000",K,27,Serbia,Mallorca,2022-2023,la-liga,,,,,,,,,,
Leandro Cabrera,"€ 16,154","€ 840,000","€ 840,000",D,31,Uruguay,Espanyol,2022-2023,la-liga,,,,,,,,,,
Tomas Alarcon,"€ 15,962","€ 830,000","€ 830,000",M,23,Chile,Cadiz,2022-2023,la-liga,,,,,,,,,,
Ruben Pena,"€ 15,962","€ 830,000","€ 830,000",D,31,Spain,Osasuna,2022-2023,la-liga,,,,,,,,,,
Iddrisu Baba,"€ 15,769","€ 820,000","€ 820,000",M,27,Ghana,Mallorca,2022-2023,la-liga,,,,,,,,,,
Francisco Portillo,"€ 15,769","€ 820,000","€ 820,000",F,32,Spain,Almeria,2022-2023,la-liga,,,,,,,,,,
Omar Mascarell,"€ 15,769","€ 820,000","€ 820,000",M,29,Spain,Elche,2022-2023,la-liga,,,,,,,,,,
Loren Moron,"€ 15,577","€ 810,000","€ 810,000",F,28,Spain,Real Betis,2022-2023,la-liga,,,,,,,,,,
Jon Morcillo,"€ 15,385","€ 800,000","€ 800,000",F,24,Spain,Athletic Club,2022-2023,la-liga,,,,,,,,,,
Giovanni Gonzalez,"€ 15,385","€ 800,000","€ 800,000",D,28,Uruguay,Mallorca,2022-2023,la-liga,,,,,,,,,,
Ruben Sobrino,"€ 15,385","€ 800,000","€ 800,000",F,31,Spain,Cadiz,2022-2023,la-liga,,,,,,,,,,
Luiz Henrique,"€ 15,385","€ 800,000","€ 800,000",F,22,Brazil,Real Betis,2022-2023,la-liga,,,,,,,,,,
Ante Budimir,"€ 15,385","€ 800,000","€ 800,000",F,31,Croatia,Osasuna,2022-2023,la-liga,,,,,,,,,,
Reinildo Mandava,"€ 15,385","€ 800,000","€ 800,000",D,29,Mozambique,Atletico Madrid,2022-2023,la-liga,,,,,,,,,,
David Garcia,"€ 15,385","€ 800,000","€ 800,000",D,28,Spain,Osasuna,2022-2023,la-liga,,,,,,,,,,
Dennis Hadzikadunic,"€ 15,000","€ 780,000","€ 780,000",D,24,Bosnia-Herzegovina,Mallorca,2022-2023,la-liga,,,,,,,,,,
Luis Milla,"€ 15,000","€ 780,000","€ 780,000",M,28,Spain,Getafe,2022-2023,la-liga,,,,,,,,,,
Manu Sanchez,"€ 15,000","€ 780,000","€ 780,000",D,22,Spain,Osasuna,2022-2023,la-liga,,,,,,,,,,
Sergio Escudero,"€ 15,000","€ 780,000","€ 780,000",D,33,Spain,Valladolid,2022-2023,la-liga,,,,,,,,,,
Alexander Callens,"€ 14,423","€ 750,000","€ 750,000",D,30,Peru,Girona,2022-2023,la-liga,,,,,,,,,,
Lucas Torro,"€ 14,423","€ 750,000","€ 750,000",M,28,Spain,Osasuna,2022-2023,la-liga,,,,,,,,,,
Ruben Alcaraz,"€ 14,423","€ 750,000","€ 750,000",M,32,Spain,Cadiz,2022-2023,la-liga,,,,,,,,,,
Aleix Garcia,"€ 13,846","€ 720,000","€ 720,000",M,25,Spain,Girona,2022-2023,la-liga,,,,,,,,,,
Goncalo Paciencia,"€ 13,846","€ 720,000","€ 720,000",F,28,Portugal,Celta Vigo,2022-2023,la-liga,,,,,,,,,,
Alejandro Pozo,"€ 13,846","€ 720,000","€ 720,000",D,23,Spain,Almeria,2022-2023,la-liga,,,,,,,,,,
Fede San Emeterio,"€ 13,846","€ 720,000","€ 720,000",M,25,Spain,Cadiz,2022-2023,la-liga,,,,,,,,,,
Roberto Torres,"€ 13,654","€ 710,000","€ 710,000",F,33,Spain,Osasuna,2022-2023,la-liga,,,,,,,,,,
Martin Valjent,"€ 13,462","€ 700,000","€ 700,000",D,27,Slovakia,Mallorca,2022-2023,la-liga,,,,,,,,,,
Aitor Fernandez,"€ 13,462","€ 700,000","€ 700,000",K,31,Spain,Osasuna,2022-2023,la-liga,,,,,,,,,,
Alvaro Fernandez,"€ 13,462","€ 700,000","€ 700,000",K,24,Spain,Espanyol,2022-2023,la-liga,,,,,,,,,,
Roger Marti,"€ 13,462","€ 700,000","€ 700,000",F,31,Spain,Elche,2022-2023,la-liga,,,,,,,,,,
Alex Moreno,"€ 13,077","€ 680,000","€ 680,000",D,29,Spain,Real Betis,2022-2023,la-liga,,,,,,,,,,
Cesar Montes,"€ 13,077","€ 680,000","€ 680,000",D,25,Mexico,Espanyol,2022-2023,la-liga,,,,,,,,,,
Jawad El Yamiq,"€ 12,885","€ 670,000","€ 670,000",D,30,Morocco,Valladolid,2022-2023,la-liga,,,,,,,,,,
Inigo Ruiz de Galarreta,"€ 12,692","€ 660,000","€ 660,000",M,29,Spain,Mallorca,2022-2023,la-liga,,,,,,,,,,
Augusto Solari,"€ 12,692","€ 660,000","€ 660,000",F,31,Argentina,Celta Vigo,2022-2023,la-liga,,,,,,,,,,
Javi Sanchez,"€ 12,692","€ 660,000","€ 660,000",D,25,Spain,Valladolid,2022-2023,la-liga,,,,,,,,,,
Stole Dimitrievski,"€ 12,692","€ 660,000","€ 660,000",K,29,North Macedonia,Rayo Vallecano,2022-2023,la-liga,,,,,,,,,,
Ander Barrenetxea,"€ 12,500","€ 650,000","€ 650,000",F,21,Spain,Real Sociedad,2022-2023,la-liga,,,,,,,,,,
Franco Russo,"€ 12,500","€ 650,000","€ 650,000",D,27,Argentina,Mallorca,2022-2023,la-liga,,,,,,,,,,
Edgar Badia,"€ 12,500","€ 650,000","€ 650,000",K,30,Spain,Elche,2022-2023,la-liga,,,,,,,,,,
Juan Perez,"€ 12,500","€ 650,000","€ 650,000",K,26,Spain,Osasuna,2022-2023,la-liga,,,,,,,,,,
Kaiky,"€ 12,308","€ 640,000","€ 640,000",D,19,Brazil,Almeria,2022-2023,la-liga,,,,,,,,,,
Carles Alena,"€ 12,115","€ 630,000","€ 630,000",M,25,Spain,Getafe,2022-2023,la-liga,,,,,,,,,,
Damian Suarez,"€ 11,923","€ 620,000","€ 620,000",D,34,Uruguay,Getafe,2022-2023,la-liga,,,,,,,,,,
Fidel,"€ 11,923","€ 620,000","€ 620,000",F,33,Spain,Elche,2022-2023,la-liga,,,,,,,,,,
Choco Lozano,"€ 11,923","€ 620,000","€ 620,000",F,29,Honduras,Cadiz,2022-2023,la-liga,,,,,,,,,,
Kike Garcia,"€ 11,923","€ 620,000","€ 620,000",F,33,Spain,Osasuna,2022-2023,la-liga,,,,,,,,,,
Darko Brasanac,"€ 11,923","€ 620,000","€ 620,000",M,30,Serbia,Osasuna,2022-2023,la-liga,,,,,,,,,,
Andre Almeida,"€ 11,538","€ 600,000","€ 600,000",M,22,Portugal,Valencia,2022-2023,la-liga,,,,,,,,,,
Santiago Bueno,"€ 11,538","€ 600,000","€ 600,000",D,24,Uruguay,Girona,2022-2023,la-liga,,,,,,,,,,
Juanpe,"€ 11,538","€ 600,000","€ 600,000",D,32,Spain,Girona,2022-2023,la-liga,,,,,,,,,,
Leo Baptistao,"€ 11,538","€ 600,000","€ 600,000",F,30,Brazil,Almeria,2022-2023,la-liga,,,,,,,,,,
Filip Jorgensen,"€ 11,538","€ 600,000","€ 600,000",K,20,Denmark,Villarreal,2022-2023,la-liga,,,,,,,,,,
Nico Gonzalez,"€ 11,538","€ 600,000","€ 600,000",M,21,Spain,Valencia,2022-2023,la-liga,,,,,,,,,,
Sergio Akieme,"€ 11,538","€ 600,000","€ 600,000",D,25,Spain,Almeria,2022-2023,la-liga,,,,,,,,,,
Jon Pacheco,"€ 11,538","€ 600,000","€ 600,000",D,22,Spain,Real Sociedad,2022-2023,la-liga,,,,,,,,,,
Reinier,"€ 11,538","€ 600,000","€ 600,000",F,21,Brazil,Girona,2022-2023,la-liga,,,,,,,,,,
Fabrizio Angileri,"€ 11,538","€ 600,000","€ 600,000",D,28,Argentina,Getafe,2022-2023,la-liga,,,,,,,,,,
Kevin Vazquez,"€ 11,538","€ 600,000","€ 600,000",D,30,Spain,Celta Vigo,2022-2023,la-liga,,,,,,,,,,
Aitor Ruibal,"€ 11,538","€ 600,000","€ 600,000",D,26,Spain,Real Betis,2022-2023,la-liga,,,,,,,,,,
Cenk Ozkacar,"€ 11,346","€ 590,000","€ 590,000",D,22,Turkey,Valencia,2022-2023,la-liga,,,,,,,,,,
Juan Cala,"€ 11,154","€ 580,000","€ 580,000",D,33,Spain,Cadiz,2022-2023,la-liga,,,,,,,,,,
Roger Marti,"€ 11,154","€ 580,000","€ 580,000",F,32,Spain,Cadiz,2022-2023,la-liga,,,,,,,,,,
El Bilal Toure,"€ 11,154","€ 580,000","€ 580,000",F,21,Mali,Almeria,2022-2023,la-liga,,,,,,,,,,
Luis Hernandez,"€ 10,962","€ 570,000","€ 570,000",D,33,Spain,Cadiz,2022-2023,la-liga,,,,,,,,,,
Martin Merquelanz,"€ 10,769","€ 560,000","€ 560,000",F,27,Spain,Real Sociedad,2022-2023,la-liga,,,,,,,,,,
Dani Gomez,"€ 10,577","€ 550,000","€ 550,000",F,24,Spain,Espanyol,2022-2023,la-liga,,,,,,,,,,
Mario Suarez,"€ 10,577","€ 550,000","€ 550,000",D,35,Spain,Rayo Vallecano,2022-2023,la-liga,,,,,,,,,,
Jorgen Strand Larsen,"€ 10,577","€ 550,000","€ 550,000",F,22,Norway,Celta Vigo,2022-2023,la-liga,,,,,,,,,,
Jaime Seoane,"€ 10,385","€ 540,000","€ 540,000",M,26,Spain,Getafe,2022-2023,la-liga,,,,,,,,,,
Dyego Sousa,"€ 10,385","€ 540,000","€ 540,000",F,33,Portugal,Almeria,2022-2023,la-liga,,,,,,,,,,
Gonzalo Melero,"€ 10,385","€ 540,000","€ 540,000",M,29,Spain,Almeria,2022-2023,la-liga,,,,,,,,,,
Clement Grenier,"€ 10,385","€ 540,000","€ 540,000",M,32,France,Mallorca,2022-2023,la-liga,,,,,,,,,,
Brian Ocampo,"€ 10,385","€ 540,000","€ 540,000",F,23,Uruguay,Cadiz,2022-2023,la-liga,,,,,,,,,,
Unai Lopez,"€ 10,385","€ 540,000","€ 540,000",M,27,Spain,Rayo Vallecano,2022-2023,la-liga,,,,,,,,,,
Brian Olivan,"€ 10,385","€ 540,000","€ 540,000",D,28,Spain,Espanyol,2022-2023,la-liga,,,,,,,,,,
Jose Angel Carmona,"€ 10,385","€ 540,000","€ 540,000",D,20,Spain,Sevilla,2022-2023,la-liga,,,,,,,,,,
Jose Angel Carmona,"€ 10,385","€ 540,000","€ 540,000",D,21,Spain,Elche,2022-2023,la-liga,,,,,,,,,,
Unai Garcia,"€ 10,192","€ 530,000","€ 530,000",D,30,Spain,Osasuna,2022-2023,la-liga,,,,,,,,,,
Nicolas Jackson,"€ 10,000","€ 520,000","€ 520,000",F,21,Senegal,Villarreal,2022-2023,la-liga,,,,,,,,,,
Santi Comesana,"€ 10,000","€ 520,000","€ 520,000",M,26,Spain,Rayo Vallecano,2022-2023,la-liga,,,,,,,,,,
Fernando Calero,"€ 10,000","€ 520,000","€ 520,000",D,27,Spain,Espanyol,2022-2023,la-liga,,,,,,,,,,
Domingos Quina,"€ 10,000","€ 520,000","€ 520,000",M,22,Portugal,Elche,2022-2023,la-liga,,,,,,,,,,
Youba Diarra,"€ 10,000","€ 520,000","€ 520,000",M,24,Mali,Cadiz,2022-2023,la-liga,,,,,,,,,,
Oscar Gil,"€ 10,000","€ 520,000","€ 520,000",D,24,Spain,Espanyol,2022-2023,la-liga,,,,,,,,,,
Luis Perez,"€ 10,000","€ 520,000","€ 520,000",D,27,Spain,Valladolid,2022-2023,la-liga,,,,,,,,,,
Oscar Trejo,"€ 9,808","€ 510,000","€ 510,000",F,34,Argentina,Rayo Vallecano,2022-2023,la-liga,,,,,,,,,,
Rodri,"€ 9,615","€ 500,000","€ 500,000",F,22,Spain,Real Betis,2022-2023,la-liga,,,,,,,,,,
Juanjo Nieto,"€ 9,615","€ 500,000","€ 500,000",D,27,Spain,Almeria,2022-2023,la-liga,,,,,,,,,,
Diego Lopez,"€ 9,615","€ 500,000","€ 500,000",K,41,Spain,Rayo Vallecano,2022-2023,la-liga,,,,,,,,,,
Adria Pedrosa,"€ 9,615","€ 500,000","€ 500,000",D,24,Spain,Espanyol,2022-2023,la-liga,,,,,,,,,,
Benat Turrientes,"€ 9,615","€ 500,000","€ 500,000",M,21,Spain,Real Sociedad,2022-2023,la-liga,,,,,,,,,,
Alfonso Espino,"€ 9,615","€ 500,000","€ 500,000",D,31,Uruguay,Cadiz,2022-2023,la-liga,,,,,,,,,,
Fali,"€ 9,615","€ 500,000","€ 500,000",D,29,Spain,Cadiz,2022-2023,la-liga,,,,,,,,,,
Oscar Plano,"€ 9,423","€ 490,000","€ 490,000",F,31,Spain,Valladolid,2022-2023,la-liga,,,,,,,,,,
Alex Fernandez,"€ 9,423","€ 490,000","€ 490,000",F,30,Spain,Cadiz,2022-2023,la-liga,,,,,,,,,,
Jesus Vazquez,"€ 9,231","€ 480,000","€ 480,000",D,20,Spain,Valencia,2022-2023,la-liga,,,,,,,,,,
Bernardo Espinosa,"€ 9,231","€ 480,000","€ 480,000",D,33,Colombia,Girona,2022-2023,la-liga,,,,,,,,,,
Iza Carcelen,"€ 9,231","€ 480,000","€ 480,000",D,29,Spain,Cadiz,2022-2023,la-liga,,,,,,,,,,
Jordi Masip,"€ 9,231","€ 480,000","€ 480,000",K,34,Spain,Valladolid,2022-2023,la-liga,,,,,,,,,,
Gonzalo Plata,"€ 9,231","€ 480,000","€ 480,000",F,22,Ecuador,Valladolid,2022-2023,la-liga,,,,,,,,,,
Jose Gragera,"€ 9,231","€ 480,000","€ 480,000",M,22,Spain,Espanyol,2022-2023,la-liga,,,,,,,,,,
Toni Villa,"€ 9,038","€ 470,000","€ 470,000",F,28,Spain,Girona,2022-2023,la-liga,,,,,,,,,,
Ivan Alejo,"€ 9,038","€ 470,000","€ 470,000",F,27,Spain,Cadiz,2022-2023,la-liga,,,,,,,,,,
Raul Guti,"€ 9,038","€ 470,000","€ 470,000",M,26,Spain,Elche,2022-2023,la-liga,,,,,,,,,,
Selim Amallah,"€ 8,846","€ 460,000","€ 460,000",F,26,Morocco,Valladolid,2022-2023,la-liga,,,,,,,,,,
Nico Melamed,"€ 8,846","€ 460,000","€ 460,000",F,21,Spain,Espanyol,2022-2023,la-liga,,,,,,,,,,
Sergio Camello,"€ 8,846","€ 460,000","€ 460,000",F,21,Spain,Rayo Vallecano,2022-2023,la-liga,,,,,,,,,,
Inigo Eguaras,"€ 8,846","€ 460,000","€ 460,000",M,30,Spain,Almeria,2022-2023,la-liga,,,,,,,,,,
Ivan Balliu,"€ 8,654","€ 450,000","€ 450,000",D,31,Albania,Rayo Vallecano,2022-2023,la-liga,,,,,,,,,,
Lago Junior,"€ 8,654","€ 450,000","€ 450,000",F,31,Cote d'Ivoire,Mallorca,2022-2023,la-liga,,,,,,,,,,
Paul Akouokou,"€ 8,654","€ 450,000","€ 450,000",M,25,Cote d'Ivoire,Real Betis,2022-2023,la-liga,,,,,,,,,,
Fernando Martinez,"€ 8,462","€ 440,000","€ 440,000",K,32,Spain,Almeria,2022-2023,la-liga,,,,,,,,,,
Dani Rodriguez,"€ 8,462","€ 440,000","€ 440,000",F,34,Spain,Mallorca,2022-2023,la-liga,,,,,,,,,,
Rodrigo Ely,"€ 8,462","€ 440,000","€ 440,000",D,29,Brazil,Almeria,2022-2023,la-liga,,,,,,,,,,
Kike Barja,"€ 8,077","€ 420,000","€ 420,000",F,25,Spain,Osasuna,2022-2023,la-liga,,,,,,,,,,
Cyle Larin,"€ 8,077","€ 420,000","€ 420,000",F,27,Canada,Valladolid,2022-2023,la-liga,,,,,,,,,,
Robert Navarro,"€ 8,077","€ 420,000","€ 420,000",F,20,Spain,Real Sociedad,2022-2023,la-liga,,,,,,,,,,
Zouhair Feddal,"€ 8,077","€ 420,000","€ 420,000",D,32,Morocco,Valladolid,2022-2023,la-liga,,,,,,,,,,
Julen Agirrezabala,"€ 8,077","€ 420,000","€ 420,000",K,22,Spain,Athletic Club,2022-2023,la-liga,,,,,,,,,,
Jaume Costa,"€ 8,077","€ 420,000","€ 420,000",D,35,Spain,Mallorca,2022-2023,la-liga,,,,,,,,,,
Amath Ndiaye,"€ 8,077","€ 420,000","€ 420,000",F,26,Senegal,Mallorca,2022-2023,la-liga,,,,,,,,,,
Alvaro Gimenez,"€ 8,077","€ 420,000","€ 420,000",F,31,Spain,Cadiz,2022-2023,la-liga,,,,,,,,,,
Kike Perez,"€ 8,077","€ 420,000","€ 420,000",M,25,Spain,Valladolid,2022-2023,la-liga,,,,,,,,,,
Houboulang Mendes,"€ 7,885","€ 410,000","€ 410,000",D,24,Guinea-Bissau,Almeria,2022-2023,la-liga,,,,,,,,,,
Aridane Hernandez,"€ 7,885","€ 410,000","€ 410,000",D,33,Spain,Osasuna,2022-2023,la-liga,,,,,,,,,,
Jose Mari,"€ 7,885","€ 410,000","€ 410,000",M,35,Spain,Cadiz,2022-2023,la-liga,,,,,,,,,,
Arnau Martinez,"€ 7,692","€ 400,000","€ 400,000",D,19,Spain,Girona,2022-2023,la-liga,,,,,,,,,,
Juan Cruz,"€ 7,692","€ 400,000","€ 400,000",D,30,Spain,Osasuna,2022-2023,la-liga,,,,,,,,,,
Oscar Valentin,"€ 7,692","€ 400,000","€ 400,000",M,28,Spain,Rayo Vallecano,2022-2023,la-liga,,,,,,,,,,
Juan Cruz,"€ 7,692","€ 400,000","€ 400,000",F,22,Spain,Real Betis,2022-2023,la-liga,,,,,,,,,,
Keidi Bare,"€ 7,692","€ 400,000","€ 400,000",M,25,Albania,Espanyol,2022-2023,la-liga,,,,,,,,,,
Renato Tapia,"€ 7,692","€ 400,000","€ 400,000",M,27,Peru,Celta Vigo,2022-2023,la-liga,,,,,,,,,,
Iago Herrerin,"€ 7,692","€ 400,000","€ 400,000",K,35,Spain,Valencia,2022-2023,la-liga,,,,,,,,,,
Lazaro,"€ 7,692","€ 400,000","€ 400,000",F,20,Brazil,Almeria,2022-2023,la-liga,,,,,,,,,,
Alex Centelles,"€ 7,692","€ 400,000","€ 400,000",D,23,Spain,Almeria,2022-2023,la-liga,,,,,,,,,,
Jon Ander Garrido,"€ 7,500","€ 390,000","€ 390,000",M,33,Spain,Cadiz,2022-2023,la-liga,,,,,,,,,,
Juanjo Narvaez,"€ 7,500","€ 390,000","€ 390,000",F,27,Colombia,Valladolid,2022-2023,la-liga,,,,,,,,,,
Sergi Guardiola,"€ 7,500","€ 390,000","€ 390,000",F,31,Spain,Valladolid,2022-2023,la-liga,,,,,,,,,,
Ivan Martos,"€ 7,500","€ 390,000","€ 390,000",D,25,Spain,Almeria,2022-2023,la-liga,,,,,,,,,,
Sergi Guardiola,"€ 7,500","€ 390,000","€ 390,000",F,31,Spain,Cadiz,2022-2023,la-liga,,,,,,,,,,
Awer Mabil,"€ 7,500","€ 390,000","€ 390,000",F,26,Australia,Cadiz,2022-2023,la-liga,,,,,,,,,,
Antonio Sanchez,"€ 7,500","€ 390,000","€ 390,000",M,25,Spain,Mallorca,2022-2023,la-liga,,,,,,,,,,
Javi Puado,"€ 7,308","€ 380,000","€ 380,000",F,24,Spain,Espanyol,2022-2023,la-liga,,,,,,,,,,
Lautaro Blanco,"€ 7,308","€ 380,000","€ 380,000",D,23,Argentina,Elche,2022-2023,la-liga,,,,,,,,,,
Samu Costa,"€ 7,115","€ 370,000","€ 370,000",M,22,Portugal,Almeria,2022-2023,la-liga,,,,,,,,,,
Juan Carlos,"€ 7,115","€ 370,000","€ 370,000",K,35,Spain,Girona,2022-2023,la-liga,,,,,,,,,,
Valery Fernandez,"€ 6,923","€ 360,000","€ 360,000",F,23,Spain,Girona,2022-2023,la-liga,,,,,,,,,,
Alejandro Catena,"€ 6,923","€ 360,000","€ 360,000",D,28,Spain,Rayo Vallecano,2022-2023,la-liga,,,,,,,,,,
Antonio Blanco,"€ 6,923","€ 360,000","€ 360,000",M,22,Spain,Cadiz,2022-2023,la-liga,,,,,,,,,,
